Chapter Name,21 January Shift 1,21 January Shift 2,22 January Shift 1,22 January Shift 2,23 January Shift 1,23 January Shift 2,24 January Shift 1,24 January Shift 2,28 January Shift 1,28 January Shift 2,Total
Application of Derivatives,1,1,1,0,0,0,1,1,0,1,6
Area Under Curves,1,1,1,1,1,1,1,1,1,1,10
Basic of Mathematics,0,0,0,0,0,0,1,0,0,0,1
Binomial Theorem,1,1,1,1,2,0,1,0,0,2,9
Circle,2,1,1,0,0,1,2,0,1,1,9
Complex Number,1,1,1,1,1,1,0,1,1,1,9
Continuity and Differentiability,0,0,0,1,1,1,2,1,0,0,6
Definite Integration,2,1,1,2,1,1,1,1,3,1,14
Determinants,0,1,0,1,1,1,0,0,0,0,4
Differential Equations,1,1,2,1,2,1,0,1,1,1,11
Differentiation,0,1,0,0,0,0,0,0,0,0,1
Ellipse,0,1,0,1,1,0,1,2,0,2,8
Functions,0,0,2,2,0,1,1,1,1,2,10
Hyperbola,1,0,1,1,1,1,0,0,1,0,6
Indefinite Integration,0,0,1,0,1,1,1,0,0,1,5
Inverse Trigonometric Functions,1,1,1,0,0,0,0,1,1,1,6
Limits,1,1,0,1,0,0,0,0,1,0,4
"Limits, Continuity and Differentiability",0,0,0,0,0,0,0,0,0,1,1
Matrices,1,1,2,1,1,1,1,2,1,1,12
Parabola,1,2,1,1,0,1,0,1,0,1,8
Permutation Combination,2,1,1,0,1,2,1,2,1,1,12
Probability,0,1,2,0,1,1,1,1,1,1,9
Quadratic Equation,1,1,0,1,2,1,0,1,2,0,9
Sequences and Series,2,2,1,1,0,1,2,2,3,3,17
Sets and Relations,1,2,1,2,1,1,1,0,0,0,9
Statistics,1,0,0,1,1,1,1,1,1,0,7
Straight Lines,1,0,0,1,1,1,1,1,1,0,7
Three Dimensional Geometry,1,2,2,1,2,1,2,1,1,2,15
Trigonometric Equations,0,0,0,0,1,0,0,1,0,0,2
Trigonometric Ratios and Identities,1,0,1,1,1,2,2,0,1,0,9
Vector Algebra,1,1,1,2,1,2,1,2,2,1,14
